지역,시기,대분류,항목,유형,6열,7열,8열,9열,10열
광주,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,100,150,170,257
대전,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,140,140,-
울산,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,77,120,130,143,172
경기도,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,44,60,88,117,143
강원도,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,133,152,164,184
충청도,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,60,70,100,129,149
전라도,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,85,110,150,183
경상도,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,113,119,130,133,142
제주도,3월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,112,-,-
전국,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,139,154,200
수도권,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,72,116,140,171,220
비수도권,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,112,132,150,179
서울(강남),2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,131,152,200,245
서울(강남외),2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,116,132,149,164
부산,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,150,177
대구,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,153,180
인천,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,136,150
광주,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,100,150,170,257
대전,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,140,140,-
울산,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,77,120,130,143,172
경기도,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,44,60,88,117,143
강원도,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,133,152,164,184
충청도,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,60,70,100,129,149
전라도,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,85,110,150,183
경상도,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,113,119,130,133,142
제주도,2월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,112,-,-
전국,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,139,154,200
수도권,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,72,116,140,171,220
비수도권,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,112,132,150,179
서울(강남),1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,131,152,200,245
서울(강남외),1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,116,132,149,164
부산,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,150,177
대구,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,153,180
인천,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,136,150
광주,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,100,150,170,257
대전,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,140,140,-
울산,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,77,120,130,143,172
경기도,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,44,60,88,117,143
강원도,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,133,152,164,184
충청도,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,60,70,100,129,149
전라도,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,85,110,150,183
경상도,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,113,119,130,133,142
제주도,1월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,112,-,-
전국,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,135,154,200
수도권,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,143,173,220
비수도권,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,130,150,180
서울(강남),12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,111,129,150,200,225
서울(강남외),12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,105,129,153,205
부산,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,142,165
대구,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,150,180
인천,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,150,150
광주,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,88,150,176,319
대전,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,125,-,-
울산,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,120,130,143,172
경기도,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,61,70,100,120,150
강원도,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,164,175
충청도,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,54,60,100,120,150
전라도,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,70,109,145,190
경상도,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,12월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,113,-,-
전국,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,135,154,200
수도권,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,143,173,220
비수도권,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,130,150,180
서울(강남),11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,111,129,150,200,225
서울(강남외),11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,105,129,153,205
부산,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,142,165
대구,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,150,180
인천,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,150,150
광주,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,88,150,176,319
대전,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,125,-,-
울산,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,120,130,143,172
경기도,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,61,70,100,120,150
강원도,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,164,175
충청도,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,54,60,100,120,150
전라도,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,70,109,145,190
경상도,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,11월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,113,-,-
전국,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,135,154,200
수도권,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,143,173,220
비수도권,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,130,150,180
서울(강남),10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,111,129,150,200,225
서울(강남외),10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,105,129,153,205
부산,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,142,165
대구,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,150,180
인천,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,150,150
광주,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,88,150,176,319
대전,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,125,-,-
울산,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,120,130,143,172
경기도,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,61,70,100,120,150
강원도,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,164,175
충청도,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,54,60,100,120,150
전라도,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,70,109,145,190
경상도,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,10월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,113,-,-
전국,9월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,135,154,200
수도권,9월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,143,173,220
비수도권,9월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,130,150,180
